user_id,time,locked_feature_name
3074457346433303437,2019-02-04 05:13:24 UTC,jira_addon
3074457346433497997,2019-03-27 09:49:44 UTC,jira_addon
3074457346467773749,2019-02-21 15:35:36 UTC,jira_addon
3074457346482258896,2019-03-20 19:26:48 UTC,jira_addon
3074457346463017404,2019-02-19 10:30:27 UTC,jira_addon
3074457346463017404,2019-02-19 10:27:31 UTC,jira_addon
3074457346441335814,2019-02-07 15:30:53 UTC,jira_addon
3074457346441871111,2019-02-07 18:50:30 UTC,jira_addon
3074457346431504615,2019-04-16 18:18:30 UTC,jira_addon
3074457346467347712,2019-04-16 17:44:52 UTC,jira_addon
3074457346431504615,2019-04-16 18:15:45 UTC,jira_addon
3074457346433443344,2019-04-19 08:33:50 UTC,jira_addon
3074457346559315480,2019-03-24 13:52:03 UTC,jira_addon
3074457346455765200,2019-02-15 18:52:32 UTC,jira_addon
3074457346476368829,2019-02-26 01:53:23 UTC,jira_addon
3074457346436037442,2019-02-06 08:50:49 UTC,jira_addon
3074457346449627885,2019-02-12 11:19:39 UTC,jira_addon
3074457346455871952,2019-02-14 21:24:43 UTC,jira_addon
3074457346450842349,2019-02-23 21:07:14 UTC,jira_addon
3074457346471844736,2019-02-23 05:17:20 UTC,jira_addon
3074457346443977974,2019-02-11 16:37:59 UTC,jira_addon
3074457346454278942,2019-03-17 21:36:38 UTC,jira_addon
3074457346471392628,2019-02-22 19:40:10 UTC,jira_addon
3074457346470249222,2019-04-09 06:30:57 UTC,jira_addon
3074457346457585982,2019-02-21 13:56:44 UTC,jira_addon
3074457346463321244,2019-02-19 22:30:05 UTC,jira_addon
3074457346470338461,2019-04-10 13:05:25 UTC,jira_addon
3074457346443832010,2019-04-10 13:55:35 UTC,jira_addon
3074457346442710623,2019-02-08 08:18:44 UTC,jira_addon
3074457346439535581,2019-05-16 01:00:05 UTC,jira_addon
3074457346465110755,2019-04-02 06:40:41 UTC,jira_addon
3074457346483679461,2019-03-04 18:27:16 UTC,jira_addon
3074457346480069896,2019-03-04 10:28:54 UTC,jira_addon
3074457346435560386,2019-02-06 02:58:55 UTC,jira_addon
3074457346470492163,2019-02-23 14:30:46 UTC,jira_addon
3074457346483152052,2019-02-28 19:08:34 UTC,jira_addon
