user_id,time
3074457346456299520,2019-02-17 11:57:58 UTC
3074457346483038976,2019-04-15 18:18:11 UTC
3074457346483038976,2019-03-17 21:39:35 UTC
3074457346483038976,2019-03-07 17:59:54 UTC
3074457346483038976,2019-03-06 20:23:18 UTC
3074457346442473728,2019-02-08 02:33:24 UTC
3074457346467967744,2019-02-21 11:07:39 UTC
3074457346453817344,2019-02-14 12:45:38 UTC
3074457346458541568,2019-02-16 14:12:12 UTC
3074457346474867968,2019-02-28 17:32:34 UTC
3074457346474867968,2019-05-30 12:40:34 UTC
3074457346474867968,2019-05-23 12:45:23 UTC
3074457346474867968,2019-03-04 00:31:31 UTC
3074457346476705024,2019-03-22 14:34:47 UTC
3074457346476705024,2019-02-26 17:24:06 UTC
3074457346476705024,2019-02-26 14:35:01 UTC
3074457346476705024,2019-02-26 14:36:36 UTC
3074457346463140352,2019-02-19 12:46:05 UTC
3074457346476709376,2019-02-28 13:07:17 UTC
3074457346476709376,2019-02-28 13:08:44 UTC
3074457346440667648,2019-02-07 11:50:15 UTC
3074457346481370368,2019-05-03 13:06:14 UTC
3074457346481370368,2019-03-18 20:59:43 UTC
3074457346481370368,2019-03-18 14:48:16 UTC
3074457346481370368,2019-03-18 12:50:42 UTC
3074457346481370368,2019-04-01 21:02:23 UTC
3074457346481370368,2019-02-28 12:40:28 UTC
3074457346482682112,2019-03-05 07:53:48 UTC
3074457346482682112,2019-03-07 10:50:08 UTC
3074457346439429632,2019-02-06 19:06:00 UTC
3074457346450833664,2019-02-20 17:44:58 UTC
3074457346450833664,2019-02-20 17:44:10 UTC
3074457346469642496,2019-02-22 02:11:39 UTC
3074457346433926912,2019-04-16 16:21:39 UTC
3074457346444874496,2019-02-09 12:03:50 UTC
3074457346431313152,2019-06-11 12:29:17 UTC
3074457346431313152,2019-06-13 15:53:40 UTC
3074457346431313152,2019-05-31 10:44:34 UTC
3074457346440161024,2019-02-13 17:08:09 UTC
3074457346440161024,2019-04-09 21:45:28 UTC
3074457346478436096,2019-03-18 15:41:57 UTC
3074457346436298240,2019-02-06 13:32:23 UTC
3074457346445932544,2019-02-14 09:59:43 UTC
3074457346445932544,2019-02-14 09:59:28 UTC
3074457346445932544,2019-02-11 13:28:01 UTC
3074457346445932544,2019-02-11 13:25:52 UTC
3074457346445932544,2019-02-11 13:21:51 UTC
3074457346445932544,2019-02-26 14:36:35 UTC
3074457346445932544,2019-02-26 14:30:14 UTC
3074457346445932544,2019-02-26 14:32:39 UTC
3074457346434140673,2019-02-04 13:50:53 UTC
3074457346464553985,2019-02-21 19:26:28 UTC
3074457346464553985,2019-02-21 16:57:01 UTC
3074457346464553985,2019-02-19 20:19:15 UTC
3074457346481597185,2019-04-24 14:19:00 UTC
3074457346481597185,2019-02-28 05:03:59 UTC
3074457346483366657,2019-05-31 16:20:24 UTC
3074457346483366657,2019-05-31 16:16:17 UTC
3074457346483366657,2019-05-31 16:09:19 UTC
3074457346483366657,2019-05-31 15:17:36 UTC
3074457346483366657,2019-05-31 16:09:33 UTC
3074457346483366657,2019-05-31 16:06:49 UTC
3074457346483366657,2019-05-31 16:11:03 UTC
3074457346483366657,2019-05-31 16:09:40 UTC
3074457346483366657,2019-05-31 15:46:27 UTC
